"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"60637","Chicago","IL","Chicago-Naperville-Elgin","Cook County",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1325,1300,1300,1300,1300,1275,1250,1250,1300,1347.5,1345,1292,1250,1300,1350,1350,1300,1350,1350,1300,1300,1300,1350,1350,1350,1400,1350,1400
"30066","Marietta","GA","Atlanta-Sandy Springs-Roswell","Cobb County",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872.5,1850,1937.5,1886,1995,1913,1895,1895,1895,1895,1895,1910,1835,1950
"77346","Atascocita","TX","Houston-The Woodlands-Sugar Land","Harris County",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1700,1637.5,1600,1625,1650,1700,1775,1697.5,1700,1744.5,1714.5,1700,1762.5,1795,1800,1762.5,1750,1775,1767,1799.5,1775,1754.5,1775,1750,1787,1824.5,1995,1825,1729,1727,1800,1750,1725,1719,1625,1790,1799.5,1792,1795,1795,1812.5,1795,1795,1750,1750,1750,1750,1795,1782.5,1850,1950,1900,1890,1850,1850,1750,1695,1695,1765,1750,1850,1850,1850
"75070","McKinney","TX","Dallas-Fort Worth-Arlington","Collin County",79,,,1597.5,1662.5,1650,1600,1670,1650,1750,1722.5,1650,1650,1650,1700,1650,1797.5,1700,1700,1750,1795,1700,1725,1750,1775,1850,1795,1750,1750,1797.5,1750,1795,1795,1795,1750,1750,1750,1725,1750,1750,1795,1825,1800,1800,1850,1800,1800,1800,1800,1825,1800,1850,1845,1895,1900,1895,1850,1895,1885,1875,1895,1850,1812.5,1850,1900,1995,1995,2000,1973,1997.5,1972.5,1950,1950,1900,1900,1995,1995,1995,1966,1900,1995,1988.5,1900,1900,1900,1900,1962.5,1995,2057.5,2095,2100,2070,1995,1977.5,2038,2175,2200,2095,2095,2100,2100
"10031","New York","NY","New York-Newark-Jersey City","New York County",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3450,3400,3400,3500,3484,3500,3447.5,3500,3400,3295,3391,3397.5,3547.5,3397.5,3497.5,3600,3595,3595,3795,3645,3529,3400,3395,3500,3450,3450,3595
"96706","Ewa Beach","HI","Urban Honolulu","Honolulu County",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3287.5,3350,3300,3275,3300,3225,3195,3000,3000,3050,3200,2950,3200,3200,3300,3425,3287.5,3300,3500,3100,3000,3000,2880,2825,3000,3100
"77375","Tomball","TX","Houston-The Woodlands-Sugar Land","Harris County",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1662.5,1675,1675,1800,1950,1997.5,1872.5,1850,1800,1850,1800,1850,1875,1900,1975,2000,1997.5,1972.5,2100,1900,1900,1845,1795,1775,1850,1850,1895,1895
"92620","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3825,4000,4100,4100,4000,4295,4100,4000,4050,4050,4095,4200,4000,4100,4000,4100,4300,4200,4145,4200,4200,4190,4200,4200,4200,4150,4150,4100
"19104","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2400,2400,2500,2400,2270,2400,2300,2200,2400,2450,2500,2400,2500,2500,2500,2500,2450,2400,2400,2500,2550,2500,2525,2600,2500,2400
"89148","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",85,,,,,,,,,,,,,1520,1495,1495,1450,1445,1495,1400,1395,1400,1395,1350,1350,1350,1350,1395,1495,1500,1475,1475,1450,1472.5,1450,1395,1400,1400,1450,1450,1450,1500,1522.5,1450,1500,1500,1450,1450,1462.5,1495,1450,1450,1499,1450,1400,1500,1595,1495,1495,1535,1500,1595,1595,1550,1495,1550,1550,1500,1450,1497,1495,1572.5,1500,1575,1632.5,1625,1650,1650,1600,1650,1695,1650,1650,1650,1650,1650,1662.5,1695,1695,1700,1750,1795,1685,1650,1695,1697.5,1797.5,1750,1795,1800,1850
